name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes,main_category
Bocal De Moutarde Pimentée - 370G,520 FCFA,https://www.jumia.sn/reine-bocal-de-moutarde-pimentee-370g-9355106.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/15539/1.jpg?3174,True,530 FCFA,2%,4.5 out of 5,(2),Supermarché
Nescafe Boite 50g,770 FCFA,https://www.jumia.sn/boite-50g-nescafe-mpg37032.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/72189/1.jpg?7277,True,,,5 out of 5,(2),Supermarché
Savonet Gel Lavant Liquide - Aqua - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-aqua-350ml-10030512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/503001/1.jpg?4350,True,,,,,Santé & Beauté
Savonet Gel Lavant Liquide - Pêche - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-peche-350ml-10030513.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/503001/1.jpg?4615,True,,,,,Santé & Beauté
La Cigale Savon De Marseille 4 x 100 Gr Miel,1 390 FCFA,https://www.jumia.sn/la-cigale-savon-de-marseille-4-x-100-gr-miel-10030535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/503001/1.jpg?6054,True,,,,,Santé & Beauté
Renova Essuie-Tout Maxi Absorption - 1 Rouleaux XXL Extra,1 000 FCFA,https://www.jumia.sn/renova-essuie-tout-maxi-absorption-1-rouleaux-xxl-extra-10030537.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/503001/1.jpg?5478,True,,,,,Santé & Beauté
La Cigale Savon De Marseille 4 x 100 Gr Glycerine,1 390 FCFA,https://www.jumia.sn/la-cigale-savon-de-marseille-4-x-100-gr-glycerine-10030534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/503001/1.jpg?6166,True,,,,,Santé & Beauté
Generic Brosse Nettoyante Electrique Pour Visage - 5 In 1 - Rose/Blanc,1 454 FCFA,https://www.jumia.sn/brosse-nettoyante-electrique-pour-visage-5-in-1-roseblanc-generic-mpg32767.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/14906/1.jpg?4413,True,2 851 FCFA,49%,3.2 out of 5,(94),Santé & Beauté
Bio Karite Beurre de Karité Prémium Pur Non raffiné Bio Karité 100ml,550 FCFA,https://www.jumia.sn/beurre-de-karite-premium-pur-non-raffine-bio-karite-100ml-bio-karite-mpg28004.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/43406/1.jpg?1104,True,2 000 FCFA,73%,3.8 out of 5,(66),Santé & Beauté
Lanbena Liquide Blanchiment Dentaire Lanbena,2 900 FCFA,https://www.jumia.sn/liquide-blanchiment-dentaire-lanbena-lanbena-mpg30738.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/90288/1.jpg?9110,True,10 000 FCFA,71%,3.4 out of 5,(356),Santé & Beauté
Bio Naturelle Attoté original 100% naturel 500ml,6 000 FCFA,https://www.jumia.sn/bio-naturelle-attote-original-100-naturel-500ml-8820365.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/30288/1.jpg?1649,False,15 000 FCFA,60%,3.5 out of 5,(94),Santé & Beauté
Generic Tondeuse A Cheveux Electrique Rechargeable,4 273 FCFA,https://www.jumia.sn/generic-tondeuse-a-cheveux-electrique-rechargeable-9106321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/36019/1.jpg?9795,True,8 378 FCFA,49%,3.6 out of 5,(78),Santé & Beauté
Generic Balance Pesé Personne Eléctronique De Graisse Corporelle IMC,4 190 FCFA,https://www.jumia.sn/generic-balance-pese-personne-electronique-de-graisse-corporelle-imc-8841540.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/51488/1.jpg?9372,True,8 216 FCFA,49%,4.1 out of 5,(61),Santé & Beauté
TOPICREM Soins hydratant Ultra Hydratant Lait Corps 500ML + Savon surgras 150G Offert,8 900 FCFA,https://www.jumia.sn/topicrem-soins-hydratant-ultra-hydratant-lait-corps-500ml-savon-surgras-150g-offert-6062260.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/22606/1.jpg?9985,True,22 000 FCFA,60%,4.2 out of 5,(24),Santé & Beauté
Pocabana Déodorant Roll-On - 50 ML,650 FCFA,https://www.jumia.sn/pocabana-deodorant-roll-on-50-ml-1259412.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/49521/1.jpg?2494,True,1 500 FCFA,57%,4.6 out of 5,(18),Santé & Beauté
Generic Pack make up complet + 1 lip gloss et 1 crayon offert,8 700 FCFA,https://www.jumia.sn/generic-pack-make-up-complet-1-lip-gloss-et-1-crayon-offert-9415799.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/75149/1.jpg?1277,False,25 000 FCFA,65%,4 out of 5,(21),Santé & Beauté
Htc Tondeuse Professionnelle Sans Fil - Rechargeable AT 209 - 3W - Bleu,2 500 FCFA,https://www.jumia.sn/htc-tondeuse-professionnelle-sans-fil-rechargeable-at-209-3w-bleu-9368715.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/78639/1.jpg?0413,False,3 990 FCFA,37%,3.6 out of 5,(150),Santé & Beauté
TOPICREM Duo Lait Éclaircissant Ultra-Hydratant - 500 ml - Blanc,22 990 FCFA,https://www.jumia.sn/topicrem-duo-lait-eclaircissant-ultra-hydratant-500-ml-blanc-1211924.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/91121/1.jpg?1099,True,64 000 FCFA,64%,4.4 out of 5,(135),Santé & Beauté
TOPICREM Gamme Eclaircissant complète - Lait+Crème jour+Crème Nuit + Sérum + Savon,39 990 FCFA,https://www.jumia.sn/topicrem-gamme-eclaircissant-complete-laitcreme-jourcreme-nuit-serum-savon-6034267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/24306/1.jpg?0160,True,90 000 FCFA,56%,4.6 out of 5,(23),Santé & Beauté
Lanbena hair growth pousse barbe,1 490 FCFA,https://www.jumia.sn/hair-growth-pousse-barbe-lanbena-mpg36814.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/61488/1.jpg?3161,True,10 000 FCFA,85%,3.3 out of 5,(127),Santé & Beauté
Generic Tondeuse A Cheveux - USB - Noir,4 800 FCFA,https://www.jumia.sn/generic-tondeuse-a-cheveux-usb-noir-6105781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/75016/1.jpg?9663,True,9 875 FCFA,51%,3.9 out of 5,(59),Santé & Beauté
Generic Perruques Frontales Longues En Dentelle Bouclée,7 400 FCFA,https://www.jumia.sn/perruques-frontales-longues-en-dentelle-bouclee-generic-mpg45082.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/50289/1.jpg?2982,True,11 990 FCFA,38%,,,Santé & Beauté
Lanbena Patte Best Qualité - Liquide Blanchiment Dentaire Lanbena,3 450 FCFA,https://www.jumia.sn/patte-best-qualite-liquide-blanchiment-dentaire-lanbena-lanbena-mpg37358.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/68639/1.jpg?7823,False,10 000 FCFA,66%,3.6 out of 5,(9),Santé & Beauté
Generic Baume Lévres Roses - 100% pure Naturelle aleo vera,900 FCFA,https://www.jumia.sn/generic-baume-levres-roses-100-pure-naturelle-aleo-vera-9851641.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/61589/1.jpg?4340,False,5 000 FCFA,82%,2.8 out of 5,(4),Santé & Beauté
Og Pack complet pro de maquillage,6 930 FCFA,https://www.jumia.sn/og-pack-complet-pro-de-maquillage-9969343.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/39699/1.jpg?5366,False,60 000 FCFA,88%,5 out of 5,(1),Santé & Beauté
Generic Kit Pied - Mains Ongleries,2 999 FCFA,https://www.jumia.sn/kit-pied-mains-ongleries-generic-mpg46518.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/72049/1.jpg?5063,False,10 000 FCFA,70%,3.8 out of 5,(13),Santé & Beauté
TOPICREM Soins Mela Lait éclaircissant 500 ml + Savon exfoliant 150 gr Offert- Blanc,15 990 FCFA,https://www.jumia.sn/topicrem-soins-mela-lait-eclaircissant-500-ml-savon-exfoliant-150-gr-offert-blanc-6034268.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/24306/1.jpg?8543,True,40 000 FCFA,60%,4.2 out of 5,(29),Santé & Beauté
Viga Spray 500000 Original - Éjaculation Précoce pour Hommes - Vitamine E,1 780 FCFA,https://www.jumia.sn/spray-500000-original-ejaculation-precoce-pour-hommes-vitamine-e-viga-mpg44875.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/54489/1.jpg?1287,False,20 000 FCFA,91%,3.5 out of 5,(19),Santé & Beauté
White Label Huile Pousse Barbe Rapide - 30 ml,1 275 FCFA,https://www.jumia.sn/huile-pousse-barbe-rapide-30-ml-white-label-mpg30128.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/89616/1.jpg?3823,False,10 000 FCFA,87%,3.1 out of 5,(52),Santé & Beauté
TOPICREM Coffret AC Soin Matifiant 40ML + Gel Nettoyant Purifiant 75ML Offert.,5 990 FCFA,https://www.jumia.sn/topicrem-coffret-ac-soin-matifiant-40ml-gel-nettoyant-purifiant-75ml-offert.-448370.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/3844/1.jpg?1100,True,11 000 FCFA,46%,3.9 out of 5,(33),Santé & Beauté
BODY SECRET Brume Parfumée BODY SECRET PASSION LOVE 70ml - Vanille et Coco,504 FCFA,https://www.jumia.sn/body-secret-brume-parfumee-body-secret-passion-love-70ml-vanille-et-coco-6043431.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/43406/1.jpg?1099,True,780 FCFA,35%,4 out of 5,(41),Santé & Beauté
Original Huile de Chébé - Pousse cheveux Rapide - 60 ml,1 050 FCFA,https://www.jumia.sn/huile-de-chebe-pousse-cheveux-rapide-60-ml-original-mpg27435.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/64016/1.jpg?6210,False,2 000 FCFA,48%,3.8 out of 5,(66),Santé & Beauté
Disaar Huile pousse barbe rapide - Zéro à Héro - 30 ml,1 250 FCFA,https://www.jumia.sn/huile-pousse-barbe-rapide-zero-a-hero-30-ml-disaar-mpg40691.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/30705/1.jpg?7013,False,10 000 FCFA,88%,3.5 out of 5,(8),Santé & Beauté
TOPICREM Ultra-hydratant stick lèvres 4 gr,1 990 FCFA,https://www.jumia.sn/topicrem-ultra-hydratant-stick-levres-4-gr-6077873.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/87706/1.jpg?6096,True,4 000 FCFA,50%,3.8 out of 5,(26),Santé & Beauté
Vaseline Lèvres Roses Lip Therapy - Rosy Lips - 7 g - Rose,467 FCFA,https://www.jumia.sn/levres-roses-lip-therapy-rosy-lips-7-g-rose-vaseline-mpg40208.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/15472/1.jpg?1738,False,1 000 FCFA,53%,3.7 out of 5,(117),Santé & Beauté
Bio Naturelle Natural Masse- prise de poids rapide- appetit et tonus pour toute la famille-500g,2 750 FCFA,https://www.jumia.sn/bio-naturelle-natural-masse-prise-de-poids-rapide-appetit-et-tonus-pour-toute-la-famille-500g-40752.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/704/1.jpg?1243,False,3 500 FCFA,21%,3.5 out of 5,(53),Santé & Beauté
TOPICREM Soins hyperpigmentation et tâches - Crème jour 40 ml + lait éclaircissant 500 ml - Blanc,17 990 FCFA,https://www.jumia.sn/topicrem-soins-hyperpigmentation-et-taches-creme-jour-40-ml-lait-eclaircissant-500-ml-blanc-8821861.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/81288/1.jpg?3744,True,45 000 FCFA,60%,4.4 out of 5,(14),Santé & Beauté
Evoluderm Masque Gommage Doux à l'extrait de Concombre - 150ML,1 390 FCFA,https://www.jumia.sn/evoluderm-masque-gommage-doux-a-lextrait-de-concombre-150ml-37844.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/873/1.jpg?5223,True,2 000 FCFA,31%,4 out of 5,(19),Santé & Beauté
Generic Éponge Fond de Teint Blender 7 en 1 multicouleur,900 FCFA,https://www.jumia.sn/eponge-fond-de-teint-blender-7-en-1-multicouleur-generic-mpg36317.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/16706/1.jpg?8860,False,,,3.8 out of 5,(21),Santé & Beauté
SUPER VIGA SPRAY Viga Spray 500000 - Éjaculation Précoce pour Hommes - Vitamine E,2 490 FCFA,https://www.jumia.sn/viga-spray-500000-ejaculation-precoce-pour-hommes-vitamine-e-super-viga-spray-mpg37499.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/35489/1.jpg?6102,False,20 000 FCFA,88%,3.7 out of 5,(42),Santé & Beauté
Htc Tondeuse rechargeable AT-206 -,2 800 FCFA,https://www.jumia.sn/tondeuse-rechargeable-at-206-htc-mpg25065.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/7605/1.jpg?0069,False,9 900 FCFA,72%,4 out of 5,(48),Santé & Beauté
"Minoxidil 5% pousse barbe , une bouteille",6 000 FCFA,https://www.jumia.sn/5-pousse-barbe-une-bouteille-minoxidil-mpg36936.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/36729/1.jpg?2980,False,15 000 FCFA,60%,3.3 out of 5,(45),Santé & Beauté
Roch Blender avec broyeur 2 en 1 - 1.5 L - Roch RBL-113-C,9 600 FCFA,https://www.jumia.sn/blender-avec-broyeur-2-en-1-1.5-l-roch-rbl-113-c-roch-mpg43720.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/78389/1.jpg?6400,True,20 000 FCFA,52%,3.9 out of 5,(102),Électronique
Generic Casque Bluetooth Sport Tour de Cou,2 990 FCFA,https://www.jumia.sn/generic-casque-bluetooth-sport-tour-de-cou-9079531.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/59709/4.jpg?2842,True,5 863 FCFA,49%,3.9 out of 5,(71),Électronique
Generic Écouteurs intra-auriculaires sans fil Bluetooth 5.0 TWS Pro 4,3 900 FCFA,https://www.jumia.sn/generic-ecouteurs-intra-auriculaires-sans-fil-bluetooth-5.0-tws-pro-4-9842644.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/62489/1.jpg?8498,True,8 647 FCFA,55%,3.1 out of 5,(9),Électronique
Roch Blender avec broyeur 2 en 1 - 1.5 L - Roch RBL-116-C,9 600 FCFA,https://www.jumia.sn/roch-blender-avec-broyeur-2-en-1-1.5-l-roch-rbl-116-c-9838793.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/78389/1.jpg?3499,True,20 000 FCFA,52%,4 out of 5,(73),Électronique
LIVONA TV LED 32 pouces - 32LV100A - HD - Noir,64 900 FCFA,https://www.jumia.sn/livona-tv-led-32-pouces-32lv100a-hd-noir-9851931.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/91589/1.jpg?4884,True,80 000 FCFA,19%,3.8 out of 5,(18),Électronique
Amoi Écouteur Bluetooth Amoi F9 + Powerbank + Code authentique - Noir,4 500 FCFA,https://www.jumia.sn/ecouteur-bluetooth-amoi-f9-powerbank-code-authentique-noir-amoi-mpg38942.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/26995/1.jpg?7769,False,12 000 FCFA,63%,3.8 out of 5,(712),Électronique
Jerry TV LED 19 Pouces - HD - Noir,26 900 FCFA,https://www.jumia.sn/tv-led-19-pouces-hdmi-usb-noir-jerry-mpg3127.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/93589/1.jpg?9383,True,35 000 FCFA,23%,4.1 out of 5,(17),Électronique
AMK Téléviseur LED 32 Pouces - HD 81 CM- AMK - Garantie 1 An Noir,70 900 FCFA,https://www.jumia.sn/amk-televiseur-led-32-pouces-hd-81-cm-amk-garantie-1-an-noir-9279318.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/39729/1.jpg?5004,True,90 000 FCFA,21%,3.9 out of 5,(19),Électronique
"Aiwa Téléviseur LED - Ecran 32"" - L/H 78 x 11 x 50 cm - HDMI x 2 USB x 2 - Noir",69 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-ecran-32-lh-78-x-11-x-50-cm-hdmi-x-2-usb-x-2-noir-2198697.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/68912/1.jpg?8593,True,150 000 FCFA,53%,4 out of 5,(236),Électronique
Generic Batteur Electrique - 7 vitesses - 260W - Blanc,4 228 FCFA,https://www.jumia.sn/batteur-electrique-7-vitesses-180w-blanc-generic-mpg32616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/75016/1.jpg?8862,True,8 290 FCFA,49%,4 out of 5,(80),Électronique
Astech Réfrigérateur bar 2 portes 85L - FP 118 - Gris,95 500 FCFA,https://www.jumia.sn/refrigerateur-bar-2-portes-118l-a-astech-fp-118-astech-mpg44992.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/94489/1.jpg?1050,True,105 000 FCFA,9%,3.7 out of 5,(10),Électronique
Generic Écouteur Bluetooth F9 + Powerbank - Noir,7 990 FCFA,https://www.jumia.sn/generic-ecouteur-bluetooth-f9-powerbank-noir-6030270.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/20306/1.jpg?1482,True,10 871 FCFA,27%,4 out of 5,(216),Électronique
"Aiwa Téléviseur LED - Smart /Android 9.0TV - Ecran 32"" - Noir - Garantie 6 Mois",99 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-smart-android-9.0tv-ecran-32-noir-garantie-6-mois-5744700.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/74475/1.jpg?5044,True,109 990 FCFA,9%,4.2 out of 5,(55),Électronique
SMART TECHNOLOGY Congélateur Horizontal 72 Litres Brut - Gris - Garantie 12 Mois,88 850 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-72-litres-brut-gris-garantie-12-mois-8886039.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/06888/4.jpg?2172,True,150 000 FCFA,41%,3.1 out of 5,(11),Électronique
Astech Réfrigérateur - Astech - 2 Portes - Gris - 138 Litres - A+ - Garantie 12 Mois,139 950 FCFA,https://www.jumia.sn/refrigerateur-astech-2-portes-gris-138-litres-a-garantie-12-mois-astech-mpg42011.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/94489/1.jpg?1050,True,145 000 FCFA,3%,3.3 out of 5,(29),Électronique
SMART TECHNOLOGY Cuisinière à Gaz 4 Feux Inox -Four- Rotisseur - Allumage automatique - 50x50Cm - Inox,92 200 FCFA,https://www.jumia.sn/smart-technology-cuisiniere-a-gaz-4-feux-inox-four-rotisseur-allumage-automatique-50x50cm-inox-9752801.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/82579/1.jpg?2189,True,150 000 FCFA,39%,4.4 out of 5,(25),Électronique
SMART TECHNOLOGY TV LED 43 Pouces - Full HD - Noir - Garantie 12 Mois + Support mural offert,124 900 FCFA,https://www.jumia.sn/smart-technology-tv-led-43-pouces-full-hd-noir-garantie-12-mois-support-mural-offert-9802733.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/72089/1.jpg?9648,True,175 000 FCFA,29%,4.1 out of 5,(14),Électronique
Haier Réfrigérateur Combiné 175 Litres - 3 Tiroirs - HDR230MPS – Garantie 12 Mois,159 900 FCFA,https://www.jumia.sn/haier-refrigerateur-combine-175-litres-3-tiroirs-hdr230mps-garantie-12-mois-9970868.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/80799/1.jpg?7805,True,167 617 FCFA,5%,,,Électronique
SMART TECHNOLOGY Réfrigérateur Bar 1 Porte 90 Litres - Inox - Garantie 12 Mois,79 900 FCFA,https://www.jumia.sn/smart-technology-refrigerateur-bar-1-porte-90-litres-inox-garantie-12-mois-9827947.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/97289/1.jpg?8449,True,100 000 FCFA,20%,3.1 out of 5,(13),Électronique
Hisense Téléviseur LED 32 Pouces - 32A6600FS - Smart TV Android - Garantie 12 Mois,99 900 FCFA,https://www.jumia.sn/hisense-televiseur-led-32-pouces-32a6600fs-smart-tv-android-garantie-12-mois-9811737.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/71189/1.jpg?4886,True,129 000 FCFA,23%,4 out of 5,(8),Électronique
Light Wave Smart TV Android 32 pouces,89 900 FCFA,https://www.jumia.sn/light-wave-smart-tv-android-32-pouces-9972315.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/32799/1.jpg?4786,True,99 900 FCFA,10%,4 out of 5,(1),Électronique
Astech Cuisinière 4 feux 50X50 CSI-50MS,76 900 FCFA,https://www.jumia.sn/astech-cuisiniere-4-feux-50x50-csi-50ms-9850925.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/90589/1.jpg?2251,True,90 000 FCFA,15%,3.5 out of 5,(6),Électronique
Original Encensoir Electrique - And Thiouraye,3 900 FCFA,https://www.jumia.sn/encensoir-electrique-and-thiouraye-original-mpg37151.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/61979/1.jpg?2204,False,6 500 FCFA,40%,4.3 out of 5,(3),Électronique
SMART TECHNOLOGY Blender Multifonctions 1.5 Litres - 500W - Blanc - Garantie 3 Mois,13 750 FCFA,https://www.jumia.sn/smart-technology-blender-multifonctions-1.5-litres-500w-blanc-garantie-3-mois-8886025.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/06888/4.jpg?4744,True,20 000 FCFA,31%,4 out of 5,(43),Électronique
Binatone Micro-ondes 20 Litres - MWO 2018 - 700W - Noir - Garantie 12 Mois - Noir,41 200 FCFA,https://www.jumia.sn/micro-ondes-20-litres-mwo-2018-700w-noir-garantie-12-mois-noir-binatone-mpg43717.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/78389/1.jpg?4662,True,55 000 FCFA,25%,3.9 out of 5,(21),Électronique
Generic Enregistreur De Données De Véhicule,5 698 FCFA,https://www.jumia.sn/generic-enregistreur-de-donnees-de-vehicule-9819057.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/09189/1.jpg?6200,True,11 173 FCFA,49%,,,Électronique
Roch Table de cuisson à gaz RSTS-405E-D - 4 feux,34 900 FCFA,https://www.jumia.sn/roch-table-de-cuisson-a-gaz-rsts-405e-d-4-feux-9907074.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/07099/1.jpg?6583,True,50 000 FCFA,30%,3.6 out of 5,(13),Électronique
Generic Mini Haut-parleurs-noir,5 938 FCFA,https://www.jumia.sn/generic-mini-haut-parleurs-noir-9096328.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/36909/1.jpg?8919,True,11 643 FCFA,49%,4 out of 5,(13),Électronique
Jerry TV LED - Ecran 17 Pouces - HD - Noir,19 900 FCFA,https://www.jumia.sn/jerry-tv-led-ecran-17-pouces-hd-noir-10003123.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/130001/1.jpg?1540,True,28 000 FCFA,29%,,,Électronique
"Generic Power Bank 10000mAh,batterie externe avec 3 câbles intégrés,cargeur rapide",4 900 FCFA,https://www.jumia.sn/generic-power-bank-10000mahbatterie-externe-avec-3-cables-integrescargeur-rapide-9735749.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/75379/1.jpg?2150,False,9 900 FCFA,51%,3.7 out of 5,(7),Électronique
Generic Caméra De Surveillance - 1080P WiFi IP CCTV - Noir,12 800 FCFA,https://www.jumia.sn/generic-camera-de-surveillance-1080p-wifi-ip-cctv-noir-9436699.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/66349/1.jpg?2970,True,23 166 FCFA,45%,,,Électronique
Generic LBQ Support De Trépied Léger Pour Caméra Avec Sac-14-40 Pouces - Noir,7 040 FCFA,https://www.jumia.sn/support-de-trepied-leger-pour-camera-avec-sac-14-40-pouces-noir-generic-mpg46577.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/85693/1.jpg?3837,True,13 804 FCFA,49%,3.8 out of 5,(38),Électronique
SMART TECHNOLOGY Système Audio Avec Haut-parleur Multimédia - Radio /Usb/SD Card/mp3 - STHB-9888M - Noir,32 600 FCFA,https://www.jumia.sn/smart-technology-systeme-audio-avec-haut-parleur-multimedia-radio-usbsd-cardmp3-sthb-9888m-noir-9752599.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/52579/1.jpg?8839,True,45 000 FCFA,28%,4.8 out of 5,(4),Électronique
Astech Réfrigérateur Mini Bar - Astech - 50 Litres - Garantie 12 Mois - Gris,67 800 FCFA,https://www.jumia.sn/refrigerateur-mini-bar-astech-garantie-12-mois-gris-astech-mpg29804.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/94489/1.jpg?6718,True,75 000 FCFA,10%,4.2 out of 5,(17),Électronique
Generic Enceinte Haut Parleur Bluetooth USB / TF / FM / AUX - Noir,4 311 FCFA,https://www.jumia.sn/generic-enceinte-haut-parleur-bluetooth-usb-tf-fm-aux-noir-6105779.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/75016/1.jpg?9662,True,8 453 FCFA,49%,4 out of 5,(39),Électronique
Generic Miroir LED Réveil Radio FM Sans Fil Bluetooth Lecteur De Musique Numérique Horloge De Table Avec Double Mode D'Alarme Montre De Bureau Électronique(Noir),8 400 FCFA,https://www.jumia.sn/generic-miroir-led-reveil-radio-fm-sans-fil-bluetooth-lecteur-de-musique-numerique-horloge-de-table-avec-double-mode-dalarme-montre-de-bureau-electroniquenoir-8774261.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/24778/1.jpg?5910,True,16 471 FCFA,49%,3.9 out of 5,(7),Électronique
Generic Smart Watch Montre Connectée Imperméable Fréquence Cardiaque Bluetooth Nr,10 900 FCFA,https://www.jumia.sn/smart-watch-montre-connectee-impermeable-frequence-cardiaque-bluetooth-nr-generic-mpg45628.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/55188/1.jpg?2532,False,55 000 FCFA,80%,3.3 out of 5,(17),Électronique
